英単語,発音,品詞,日本語訳,細かい発音,単元
eighteen,[エイティーン],名,１８※ghは発音しない,[eigh（エイ）][tee（ティー）][n（ン）]  ※ [t(トゥ)]  [ee(イー)],DAY40
eighteenth,[エイティーンス],名,１８番目/１８日,[eigh（エイ）][teen（ティーン）][th（ンス）]  ※ ghは発音しない,DAY40
eighty,[エイティ],名,80,[eigh（エイ）][ty（ティ）]  ※ ghは発音しない,DAY40
day,[デイ],名,日/1日,[d（ドゥ）][ay（エイ）],DAY40
today,[トゥデイ],名,今日,[to（トゥ）][day（デイ）]  ※ [d(ドゥ)]  [ay(エイ)],DAY40
today,[トゥデイ],副,今日（は）,[to（トゥ）][day（デイ）]  ※ [d(ドゥ)]  [ay(エイ)],DAY40
night,[ナイトゥ],名,夜,[ni（ナイ）][ght（トゥ）]  ※ [n(ヌ)]  [i(アイ)]  ※ ghは発音しない,DAY40
tomorrow,[トゥモロウ],名,明日,[to（トゥ）][mo（モ）][rrow（ロウ）]  ※ [r(ル)]  [ow(オウ)],DAY41
tomorrow,[トゥモロウ],副,明日（は）,[to（トゥ）][mo（モ）][rrow（ロウ）]  ※ [r(ル)]  [ow(オウ)],DAY41
slowly,[スロウリー],副,ゆっくりと,[s（ス）][low（ロウ）][ly（リー）]  ※ [l(ル)]  [ow(オウ)],DAY41
tonight,[トゥナイトゥ],名,今夜,[to（トゥ）][ni（ナイ）][ght（トゥ）],DAY41
tonight,[トゥナイトゥ],副,今夜（は）※ghは発音しない,[to（トゥ）][ni（ナイ）][ght（トゥ）],DAY41
always,[オールウェイズ],副,いつも,[al（オール）][way（ウェイ）][s（ズ）]  ※ [w(ウ)]  [ay(エイ)],DAY41
now,[ナウ],副,今,[n（ヌ）][ow（アウ）],DAY41
someday,[サムデイ],副,いつか※eは発音しない,[so（サ）][me（ム）][day（デイ）]  ※ [d(ドゥ)]  [ay(エイ)],DAY41
soon,[スーン],副,すぐに/まもなく,[s（ス）][oo（ウー）][n（ン）],DAY41
May,[メイ],名,5月,[M（ム）][ay（エイ）],DAY41
Sunday,[サンデイ],名,日曜日,[Su（サ）][n（ン）][day（デイ）]  ※ [s(ス)]  [u(ア)],DAY41
Monday,[マンデイ],名,月曜日,[Mo（マ）][n（ン）][day（デイ）]  ※ [m(ム)]  [o(ア)],DAY41
Friday,[フライデイ],名,金曜日,[F（フ）][ri（ライ）][day（デイ）]  ※ [r(ル)]  [i(アイ)],DAY42
week,[ウィーク],名,週/１週間,[wee（ウィー）][k（ク）]  ※ [w(ウ)]  [ee(イー)],DAY42
weekend,[ウィークエンド],名,週末,[wee（ウィー）][k（ク）][en（エン）][d（ドゥ）],DAY42
autumn,[オータム],名,秋※nは発音しない,[au（オー）][tumn（タム）] ,DAY42
season,[スィーズン],名,季節※oは発音しない,[sea（スィー）][son（ズン）]  ※ [s(ス)]  [ea(イー)],DAY42
holiday,[ホリデイ],名,休日,[ho（ホ）][li（リ）][day（デイ）]  ※ [d(ドゥ)]  [ay(エイ)],DAY42
tea,[ティー],名,お茶/紅茶,[t（トゥ）][ea（イー）],DAY42
fruit,[フルートゥ],名,果物,[f（フ）][rui（ルー）][t（トゥ）],DAY42
beef,[ビーフ],名,牛肉,[bee（ビー）][f（フ）]  ※ [b(ブ)]  [ee(イー)],DAY42
bread,[ブレッドゥ],名,パン,[b（ブ）][rea（レ）][d（ドゥ）]  ※ [r(ル)]  [ea(エ)],DAY42
cheese,[チーズ],名,チーズ※最後のeは発音しない,[chee（チー）][se（ズ）]  ※ [ch(チ)]  [ee(イー)],DAY43
soup,[スープ],名,スープ,[sou（スー）][p（プ）]  ※ [s(ス)]  [ou(ウー)],DAY43
steak,[ステイク],名,ステーキ,[s（ス）][tea（テイ）][k（ク）]  ※ [t(トゥ)]  [ea(エイ)],DAY43
coffee,[コーフィー],名,コーヒー,[co（コー）][ffee（フィー）]  ※ [f(フ)]  [ee(イー)],DAY43
juice,[ジュース],名,ジュース※eは発音しない,[jui（ジュー）][ce（ス）] ,DAY43
food,[フードゥ],名,食べ物,[f（フ）][oo（ウー）][d（ドゥ）],DAY43
town,[タウン],名,町,[to（タ）][wn（ウン）]  ※ [w(ウ)]  [n(ン)],DAY43
sound,[サウンドゥ],名,音,[so（サ）][u（ウ）][n（ン）][d（ドゥ）]  ※ [s(ス)]  [o(ア)],DAY43
sound,[サウンドゥ],動,～に聞こえる,[so（サ）][u（ウ）][n（ン）][d（ドゥ）]  ※ [s(ス)]  [o(ア)],DAY43
street,[ストゥリートゥ],名,通り,[s（ス）][t（トゥ）][ree（リー）][t（トゥ）]  ※ [r(ル)]  [ee(イー)],DAY43
house,[ハウス],名,家※eは発音しない,[ho（ハ）][u（ウ）][se（ス）]  ※ [h(フ)]  [o(ア)],DAY43
subway,[サブウェイ],名,地下鉄,[su（サ）][b（ブ）][way（ウェイ）]  ※ [w(ウ)]  [ay(エイ)],DAY44
train,[トゥレイン],名,電車/列車,[t（トゥ）][rai（レイ）][n（ン）]  ※ [r(ル)]  [ai(エイ)],DAY44
road,[ロードゥ],名,道/道路,[roa（ロー）][d（ドゥ）]  ※ [r(ル)]  [oa(オー)],DAY44
south,[サウス],名,南,[so（サ）][u（ウ）][th（ス）]  ※ [s(ス)]  [o(ア)],DAY44
south,[サウス],形,南の,[so（サ）][u（ウ）][th（ス）]  ※ [s(ス)]  [o(ア)],DAY44
south,[サウス],副,南に,[so（サ）][u（ウ）][th（ス）]  ※ [s(ス)]  [o(ア)],DAY44
east,[イーストゥ],名,東,[ea（イース）][s（ス）][t（トゥ）],DAY44
east,[イーストゥ],形,東の,[ea（イース）][s（ス）][t（トゥ）],DAY44
east,[イーストゥ],副,東に,[ea（イース）][s（ス）][t（トゥ）],DAY44
zoo,[ズー],名,,[z（ズ）][oo（ウー）],DAY44
zoo,[ズー],動,物園,[z（ズ）][oo（ウー）],DAY44
beach,[ビーチ],名,浜辺/砂浜,[bea（ビー）][ch（チ）]  ※ [b(ブ)]  [ea(イー)],DAY44
mountain,[マウントゥン],名,山,[mo（マ）][u（ウ）][n（ン）][tain（トゥン）],DAY44
sea,[スィー],名,海,[s（ス）][ea（イー）],DAY44
flower,[フラワー],名,花,[f（フ）][lo（フラ）][wer（ワー）]  ※ [w(ウ)]  [er(アー)],DAY44
tree,[トゥリー],名,木,[t（トゥ）][ree（リー）]  ※ [r(ル)]  [ee(イー)],DAY45
cloud,[クラウドゥ],名,雲,[c（ク）][lo（ラ）][u（ウ）][d（ドゥ）]  ※ [l(ル)]  [o(ア)],DAY45
rainbow,[レインボウ],名,虹,[rai（レイ）][n（ン）][bow（ボウ）]  ※ [b(ブ)]  [ow(オウ)],DAY45
country,[カントリー],名,国,[cou（カ）][n（ン）][t（トゥ）][ry（リー）]  ※ [r(ル)]  [y(イー)],DAY45
Australia,[オーストゥレイリア],名,オーストラリア,[Au（オー）][s（スゥ）][t（トゥ）][ra（レイ）][li（イリ）][a（ア）],DAY45
Australian,[オーストゥレイリアン],名,オーストラリア人,[Au（オー）][st（ストゥ）][ra（レイ）][li（イリ）][an（アン）],DAY45
Australian,[オーストゥレイリアン],形,オーストラリアの,[Au（オー）][st（ストゥ）][ra（レイ）][li（イリ）][an（アン）],DAY45
Spain,[スペイン],名,スペイン,[S（ス）][pai（ペイ）][n（ン）]  ※ [p(プ)]  [ai(エイ)],DAY45
hometown,[ホウムタウン],名,故郷※eは発音しない,[ho（ホウ）][me（ム）][t（トゥ）][ow（アウ）][n（ン）],DAY45
sightseeing,[サイトゥスィーイング],名,観光※ghは発音しない,[si（サイ）][ght（トゥ）][see（スィー）][ing（イング）],DAY45
teacher,[ティーチャー],名,先生/教師,[tea（ティー）][ch（チ）][er（アー）]  ※ [t(トゥ)]  [ea(イー)],DAY45
team,[ティーム],名,チーム,[tea（ティー）][m（ム）]  ※ [t(トゥ)]  [ea(イー)],DAY46
leader,[リーダー],名,指導者/リーダー,[lea（リー）][der（ダー）]  ※ [l(ル)]  [ea(イー)],DAY46
coach,[コーチ],名,コーチ,[coa（コー）][ch（チ）]  ※ [c(ク)]  [oa(オー)],DAY46
group,[グループ],名,集団/グループ,[g（グ）][rou（ルー）][p（プ）]  ※ [r(ル)]  [ou(ウー)],DAY46
meeting,[ミーティング],名,会議/ミーティング,[mee（ミー）][t（トゥ）][ing（イング）]  ※ [m(ム)]  [e(イー)],DAY46
mouse,[マウス],名,ネズミ※最後のeは発音しない,[mo（マ）][u（ウ）][se（ス）] ,DAY46
sheep,[シープ],名,ヒツジ,[sh（シ）][ee（イー）][p（プ）],DAY46
boy,[ボーイ],名,男の子,[bo（ボ）][y（イ）]  ※ [b(ブ)]  [o(オ)],DAY46
she,[シー],代,彼女は,[sh（シ）][e（イー）],DAY46
they,[ゼイ],代,彼らは/彼女らは/それらは,[th（ズ）][e（エ）][y（イ）],DAY46
cousin,[カズン],名,いとこ※iは発音しない,[cou（カ）][sin（ズン）]  ※ [c(ク)]  [ou(ア)],DAY47
head,[ヘッドゥ],名,頭,[hea（ヘ）][d（ドゥ）]  ※ [h(フ)]  [ea(エ)],DAY47
cheek,[チーク],名,ほお,[chee（チー）][k（ク）]  ※ [ch(チ)]  [e(イー)],DAY47
mouth,[マウス],名,口,[mo（マ）][u（ウ）][th（ス）]  ※ [m(ム)]  [o(ア)],DAY47
key,[キー],名,カギ,[k（ク）][ey（イー）],DAY47
window,[ウィンドウ],名,窓,[wi（ウィン）][n（ン）][d（ドゥ）][ow（オウ）],DAY47
toy,[トウイ],名,おもちゃ,[t（トゥ）][o（オウ）][y（イ）],DAY47
suit,[スートゥ],名,スーツ,[sui（スー）][t（トゥ）]  ※ [s(ス)]  [ui(ウー)],DAY47
down,[ダウン],副,下に,[do（ダウ）][wn（ウン）]  ※ [w(ウ)]  [n(ン)],DAY47
right,[ライトゥ],名,右/権利,[ri（ライ）][ght（トゥ）]  ※ [r(ル)]  [i(アイ)]  ※ ghは発音しない,DAY47
right,[ライトゥ],形,右の/正しい,[ri（ライ）][ght（トゥ）]  ※ [r(ル)]  [i(アイ)]  ※ ghは発音しない,DAY47
right,[ライトゥ],副,右に,[ri（ライ）][ght（トゥ）]  ※ [r(ル)]  [i(アイ)]  ※ ghは発音しない,DAY47
straight,[ストゥレイトゥ],副,まっすぐに,[s（ス）][t（トゥ）][rai（レイ）][ght（トゥ）]  ※ [r(ル)]  [ai(エイ)],DAY48
straight,[ストゥレイトゥ],形,まっすぐな※ghは発音しない,[s（ス）][t（トゥ）][rai（レイ）][ght（トゥ）]  ※ [r(ル)]  [ai(エイ)],DAY48
out,[アウトゥ],副,外で/外に,[o（ア）][u（ウ）][t（トゥ）],DAY48
outside,[アウトゥサイドゥ],副,外に/外で,[o（ア）][u（ウ）][t（トゥ）][si（サイ）][de（ドゥ）],DAY48
outside,[アウトゥサイドゥ],前,～の外に※最後のeは発音しない,[o（ア）][u（ウ）][t（トゥ）][si（サイ）][de（ドゥ）],DAY48
between,[ビットゥウィーン],前,～の間に,[be（ビ）][t（トゥ）][wee（ウィー）][n（ン）]  ※ [ee(イー)],DAY48
about,[アバウトゥ],前,～について/約～,[a（ア）][bo（バ）][u（ウ）][t（トゥ）]  ※ [b(ブ)]  [o(ア)],DAY48
how,[ハウ],副,（疑問詞）どのように,[h（フ）][ow（アウ）],DAY48
because,[ビコーズ],接,（なぜなら）～なので※最後のeは発音しない,[be（ビ）][cau（コー）][se（ズ）]  ※ [c(ク)]  [au(オー)],DAY48
really,[リアリー],副,本当に/とても,[re（リ）][a（ア）][lly（リー）]  ※ [l(ル)]  [y(イー)],DAY48
too,[トゥー],副,～もまた/～すぎる,[t（トゥ）][oo（ウー）],DAY48
easily,[イーズィリー],副,簡単に,[ea（イー）][si（ジ）][ly（リー）]  ※ [s(ズ)]  [i(イ)],DAY48
abroad,[アブロード],副,海外で/海外へ,[a（ア）][b（ブ）][roa（ロー）][d（ドゥ）]  ※ [r(ル)]  [oa(オー)],DAY49
again,[アゲン],副,再び/また※発音は「アゲイン」ではない,[a（ア）][gain（ゲン）] ,DAY49
please,[プリーズ],副,～してください,[p（プ）][lea（リー）][se（ズ）]  ※ [l(ル)]  [ea(イー)],DAY49
please,[プリーズ],動,喜ばせる※eは発音しない,[p（プ）][lea（リー）][se（ズ）]  ※ [l(ル)]  [ea(イー)],DAY49
away,[アウェイ],副,離れて,[a（ア）][way（ウェイ）]  ※ [w(ウ)]  [ay(エイ)],DAY49
already,[オールレディ],副,すでに/もう,[al（オール）][rea（レ）][dy（ディ）]  ※ [r(ル)]  [ea(エ)],DAY49
may,[メイ],助,～かもしれない/～してもよい,[m（ム）][ay（エイ）],DAY49
maybe,[メイビー],副,たぶん/もしかすると,[m（ム）][ay（エイ）][be（ビー）],DAY49
few,[フュー],形,ほとんど～ない/（aが付くと）少しの～,[f（フ）][ew（ユー）],DAY49
each,[イーチ],形,それぞれの,[ea（イー）][ch（チ）],DAY49
way,[ウェイ],名,道/方法,[w（ウ）][ay（エイ）],DAY49
news,[ニューズ],名,知らせ/ニュース※発音は「ニュース」ではない,[new（ニュー）][s（ズ）]  ※ [n(ヌ)]  [ew(ユー)],DAY50
newspaper,[ニューズペイパー],名,新聞,[new（ニュー）][s（ズ）][pa（ペイ）][per（パー）],DAY50
speech,[スピーチ],名,演説/スピーチ,[s（ス）][pee（ピー）][ch（チ）]  ※ [p(プ)]  [ee(イー)],DAY50
view,[ヴュー],名,眺め/景色,[vi（ヴ）][ew（ユー）],DAY50
audience,[オーディエンス],名,聴衆/観客※最後のeは発音しない,[au（オー）][di（ディ）][en（エン）][ce（ス）],DAY50
courage,[カリッジ],名,勇気,[cou（カ）][ra（リ）][ge（ジ）]  ※ [c(ク)]  [ou(ア)],DAY50
voice,[ヴォイス],名,声※最後のeは発音しない,[vo（ヴォ）][i（イ）][ce（ス）]  ※ [v(ヴ)]  [o(オ)],DAY50
power,[パワー],名,力/能力,[po（パ）][wer（ワー）]  ※ [w(ウ)]  [er(アー)],DAY50
reason,[リーズン],名,理由※最後のoは発音しない,[rea（リー）][son（ズン）]  ※ [r(ル)]  [ea(イー)],DAY50
goal,[ゴウル],名,目標,[g（グ）][oa（オウ）][l（ル）],DAY50
heat,[ヒートゥ],名,熱/暑さ,[hea（ヒー）][t（トゥ）]  ※ [h(フ)]  [ea(イー)],DAY51
meaning,[ミーニング],名,意味,[mea（ミー）][ni（ニ）][n（ン）][g（グ）]  ※ [m(ム)]  [ea(イー)],DAY51
speed,[スピードゥ],名,速度,[s（ス）][pee（ピー）][d（ドゥ）]  ※ [p(プ)]  [ee(イー)],DAY51
health,[ヘルス],名,健康,[hea（ヘ）][l（ル）][th（ス）]  ※ [h(フ)]  [ea(エ)],DAY51
trouble,[トゥラブル],名,心配/困難/トラブル※最後のeは発音しない,[t（トゥ）][rou（ラ）][ble（ル）]  ※ [r(ル)]  [ou(ア)],DAY51
point,[ポイントゥ],名,点/要点/ポイント,[po（ポ）][i（ポイ）][n（ン）][t（トゥ）]  ※ [p(プ)]  [o(オ)],DAY51
point,[ポイントゥ],動,指さす,[po（ポ）][i（ポイ）][n（ン）][t（トゥ）]  ※ [p(プ)]  [o(オ)],DAY51
turn,[ターン],動,曲がる/向きを変える/回す,[tur（ター）][n（ン）]  ※ [t(トゥ)]  [ur(アー)],DAY51
start,[スタートゥ],動,始める/始まる,[s（ス）][tar（ター）][t（トゥ）]  ※ [t(トゥ)]  [ar(アー)],DAY51
care,[ケア],動,気にする,[c（ク）][are（エアー）],DAY51
care,[ケア],名,世話/注意,[c（ク）][are（エアー）],DAY51
answer,[アンサー],動,答える,[a（ア）][n（ン）][swer（サー）]  ※ [s(ス)]  [er（ア）],DAY51
answer,[アンサー],名,答え※wは発音しない,[a（ア）][n（ン）][swer（サー）]  ※ [s(ス)]  [er（ア）],DAY51
hear,[ヒア],動,聞く/耳にする,[he（ヒ）][ar（アー）],DAY52
understand,[アンダースタンドゥ],動,理解する,[u（ア）][n（ン）][der（ダー）][s（ス）][ta（タ）][n（ン）][d（ドゥ）],DAY52
work,[ワーク],動,働く,[wor（ワー）][k（ク）]  ※ [w(ウ)]  [or(アー)],DAY52
work,[ワーク],名,仕事/作品,[wor（ワー）][k（ク）]  ※ [w(ウ)]  [or(アー)],DAY52
learn,[ラーン],動,学ぶ/習う/知る,[lear（ラー）][n（ン）]  ※ [l(ル)]  [ear(アー)],DAY52
remember,[リメンバー],動,覚えている/思い出す,[re（リ）][me（メ）][m（ン）][ber（バー）]  ※ [b(ブ)]  [er(アー)],DAY52
forget,[フォゲットゥ],動,忘れる,[for（フォー）][ge（ゲ）][t（トゥ）]  ※ [f(フ)]  [or(オー)],DAY52
arrive,[アライヴ],動,到着する/着く※最後のeは発音しない,[a（ア）][rri（ライ）][ve（ヴ）]  ※ [r(ル)]  [i(アイ)],DAY52
appear,[アピアー],動,現れる,[a（ア）][ppe（ピ）][ar（アー）]  ※ [p(プ)]  [e(イ)],DAY52
disappear,[ディサピアー],動,消える,[di（ディ）][sa（サ）][ppe（ピ）][ar（アー）],DAY52
carry,[キャリー],動,運ぶ/持ち運ぶ,[ca（キャ）][rry（リー）]  ※ [r(ル)]  [y(イー)],DAY52
enter,[エンター],動,入る,[e（エ）][n（ン）][ter（ター）]  ※ [t(トゥ)]  [er(アー)],DAY53
gather,[ギャザー],動,集まる/集める,[ga（ギャ）][ther（ザー）]  ※ [th(ズ)]  [er(アー)],DAY53
return,[リターン],動,戻る/～を戻す,[re（リ）][tur（ター）][n（ン）]  ※ [t(トゥ)]  [ur(アー)],DAY53
cover,[カヴァー],動,覆(おお)う,[co（カ）][ver（ヴァー）]  ※ [v(ヴ)]  [er(アー)],DAY53
borrow,[バロウ],動,借りる,[bo（バ）][rrow（ロウ）]  ※ [r(ル)]  [ow(オウ)],DAY53
repair,[リペアー],動,修理する,[re（リ）][pair（ペアー）]  ※ [p(プ)]  [air(エアー)],DAY53
hurry,[ハリー],動,急ぐ,[hu（ハ）][rry（リー）]  ※ [r(ル)]  [y(イー)],DAY53
hurry,[ハリー],名,急ぎ,[hu（ハ）][rry（リー）]  ※ [r(ル)]  [y(イー)],DAY53
share,[シェア],動,分け合う/共有する,[sh（シ）][are（エアー）],DAY53
surprise,[サプライズ],動,～を驚かせる,[sur（サー）][p（プ）][ri（ライ）][se（ズ）],DAY53
surprise,[サプライズ],名,驚き※最後のeは発音しない,[sur（サー）][p（プ）][ri（ライ）][se（ズ）],DAY53
worry,[ウォーリー],動,心配する,[wor（ウォー）][ry（リー）]  ※ [w(ウ)]  [or(オー)],DAY53
worry,[ウォーリー],名,心配,[wor（ウォー）][ry（リー）]  ※ [w(ウ)]  [or(オー)],DAY53
"am, is, are",[アム] [イズ] [アー],動,～です/～がいる/～がある,[a（ア）][m（ム）]  [i（イ）][s（ズ）]  [are（アー）],DAY54
sorry,[ソーリー],形,申し訳なく思って/残念な/気の毒な,[sor（ソー）][ry（リー）]  ※ [s(ス)]  [or(オー)],DAY54
strong,[ストゥロング],形,強い,[s（ス）][t（トゥ）][ro（ロ）][n（ン）][g（グ）],DAY54
large,[ラージ],形,大きい/広い,[lar（ラー）][ge（ジ）]  ※ [l(ル)]  [ar(アー)],DAY54
short,[ショートゥ],形,短い/背が低い,[sh（シ）][or（オー）][t（トゥ）],DAY54
hard,[ハードゥ],形,厳しい/難しい/固い,[har（ハー）][d（ドゥ）]  ※ [h(フ)]  [ar(アー)],DAY54
hard,[ハードゥ],副,熱心に,[har（ハー）][d（ドゥ）]  ※ [h(フ)]  [ar(アー)],DAY54
sour,[サワー],形,すっぱい,[s（ス）][our（アワー）],DAY54
thirsty,[サースティー],形,のどがかわいた,[thir（サー）][s（ス）][ty（ティー）]  ※ [th(ス)]  [ir(アー)],DAY54
important,[インポータントゥ],形,大切な/重要な,[i（イ）][m（ン）][por（ポー）][ta（タ）][n（ン）][t（トゥ）],DAY54
junior,[ジュニアー],形,年下の/後輩の,[ju（ジュ）][ni（ニ）][or（アー）],DAY54
surprised,[サプライズドゥ],形,驚いた※eは発音しない,[sur（サー）][p（プ）][ri（ライ）][se（ズ）][d（ドゥ）],DAY55
perfect,[パーフェクトゥ],形,完璧な,[per（パー）][fe（フェ）][c（ク）][t（トゥ）]  ※ [p(プ)]  [er(アー)],DAY55
boring,[ボーリング],形,退屈な/つまらない,[bor（ボー）][i（イ）][n（ン）][g（グ）]  ※ [b(ブ)]  [or(オー)],DAY55
nervous,[ナーヴァス],形,緊張している,[ner（ナー）][vou（ヴァ）][s（ス）]  ※ [n(ヌ)]  [er(アー)],DAY55
narrow,[ナロウ],形,（幅の）せまい,[na（ナ）][rrow（ロウ）]  ※ [r(ル)]  [ow(オウ)],DAY55
warm,[ウォーム],形,暖かい,[war（ウォー）][m（ム）]  ※ [w(ウ)]  [ar(オー)],DAY55
dark,[ダーク],形,暗い,[dar（ダー）][k（ク）]  ※ [d(ドゥ)]  [ar(アー)],DAY55
dirty,[ダーティ],形,汚い,[dir（ダー）][ty（ティ）]  ※ [d(ドゥ)]  [ir(アー)],DAY55
careful,[ケアフル],形,注意深い,[care（ケア）][fu（フ）][l（ル）]  ※ [c(ク)]  [are(エアー)],DAY55
early,[アーリー],副,早く,[ear（アー）][ly（リー）]  ※ [l(ル)]  [y(イー)],DAY55
early,[アーリー],形,早い,[ear（アー）][ly（リー）]  ※ [l(ル)]  [y(イー)],DAY55
terrible,[テリブル],形,ひどい/おそろしい※最後のeは発音しない,[te（テ）][rri（リ）][ble（ブル）],DAY56
regular,[レギュラー],形,規則正しい/ふつうの,[re（レ）][gu（ギュ）][lar（ラー）]  ※ [l(ル)]  [ar(アー)],DAY56
clever,[クレヴァー],形,利口な/かしこい,[c（ク）][le（レ）][ver（ヴァー）]  ※ [v(ヴ)]  [er(アー)],DAY56
smart,[スマートゥ],形,頭が良い/かしこい,[s（ス）][mar（マー）][t（トゥ）]  ※ [m(ム)]  [ar(アー)],DAY56
four,[フォー],名,4,[four（フォー）],DAY56
fourteen,[フォーティーン],名,14,[four（フォー）][tee（ティー）][n（ン）]  ※ [t(トゥ)]  [ee(イー)],DAY56
forty,[フォーティ],名,40,[for（フォー）][ty（ティ）]  ※ [f(フ)]  [or(オー)],DAY56
hundred,[ハンドゥレッドゥ],名,100,[hu（ハ）][n（ン）][d（ドゥ）][re（レ）][d（ドゥ）],DAY56
first,[ファーストゥ],名,１番目/1日,[fir（ファー）][s（ス）][t（トゥ）]  ※ [f(フ)]  [ir(アー)],DAY56
first,[ファーストゥ],形,最初の,[fir（ファー）][s（ス）][t（トゥ）]  ※ [f(フ)]  [ir(アー)],DAY56
first,[ファーストゥ],副,最初に/まず,[fir（ファー）][s（ス）][t（トゥ）]  ※ [f(フ)]  [ir(アー)],DAY56
fourth,[フォース],名,４番目/4日,[four（フォー）][th（ス）],DAY56
fourteenth,[フォーティーンス],名,14番目/14日,[four（フォー）][tee（ティー）][n（ン）][th（ス）],DAY57
year,[イェアー],名,年,[y（イ）][e（エ）][ar（アー）],DAY57
hour,[アワー],名,１時間※hは発音しない,[hour（アワー）],DAY57
morning,[モーニング],名,朝,[mor（モー）][ni（ニ）][n（ン）][g（グ）]  ※ [m(ム)]  [or(オー)],DAY57
afternoon,[アフタヌーン],名,午後,[a（ア）][f（フ）][ter（ター）][n（ヌ）][oo（ウー）][n（ン）],DAY57
March,[マーチ],名,3月,[Mar（マー）][ch（チ）]  ※ [m(ム)]  [ar(アー)],DAY57
September,[セプテンバー],名,9月,[Se（セ）][p（プ）][te（テ）][m（ン）][ber（バー）],DAY57
October,[オクトウバー],名,10月,[O（オ）][c（ク）][to（トウ）][ber（バー）]  ※ [t(トゥ)]  [o(オウ)],DAY57
November,[ノウヴェンバー],名,11月,[No（ノウ）][ve（ヴェ）][m（ン）][ber（バー）],DAY57
December,[ディセンバー],名,12月,[De（ディ）][ce（セ）][m（ン）][ber（バー）]  ※ [c(ス)]  [e(エ)],DAY57
Thursday,[サーズデイ],名,木曜日,[Thur（サー）][s（ズ）][day（デイ）]  ※ [th(ス)]  [ur(アー)],DAY58
Saturday,[サタデイ],名,土曜日,[Sa（サ）][tur（ター）][day（デイ）]  ※ [t(トゥ)]  [ur(アー)],DAY58
summer,[サマー],名,夏,[su（サ）][mmer（マー）]  ※ [m(ム)]  [er(アー)],DAY58
winter,[ウィンター],名,冬,[wi（ウィ）][n（ン）][ter（ター）]  ※ [t(トゥ)]  [er(アー)],DAY58
birthday,[バースデイ],名,誕生日,[bir（バー）][th（ス）][day（デイ）]  ※ [b(ブ)]  [ir(アー)],DAY58
party,[パーティ],名,パーティー,[par（パー）][ty（ティ）]  ※ [p(プ)]  [ar(アー)],DAY58
orange,[オーリンジ],名,みかん,[or（オー）][a（イ）][n（ン）][ge（ジ）],DAY58
water,[ウォーター],名,水,[wa（ウォー）][ter（ター）]  ※ [t(トゥ)]  [er(アー)],DAY58
pork,[ポーク],名,ぶた肉,[por（ポー）][k（ク）]  ※ [p(プ)]  [or(オー)],DAY58
chair,[チェア],名,いす,[ch（チ）][air（エアー）],DAY58
card,[カードゥ],名,カード,[car（カー）][d（ドゥ）]  ※ [c(ク)]  [ar(アー)],DAY59
color,[カラー],名,色,[co（カ）][lor（ラー）]  ※ [c(ク)]  [o(ア)]  [l(ル)]  [or(アー)],DAY59
shirt,[シャートゥ],名,シャツ,[shir（シャー）][t（トゥ）]  ※ [sh(シ)]  [ir(アー)],DAY59
guitar,[ギター],名,ギター,[gui（ギ）][tar（ター）]  ※ [t(トゥ)]  [ar(アー)],DAY59
dinner,[ディナー],名,夕食,[di（ディ）][nner（ナー）] ※ [n(ヌ)]  [er(アー)],DAY59
calendar,[カレンダー],名,カレンダー,[ca（カ）][le（レ）][n（ン）][dar（ダー）]  ※ [d(ドゥ)]  [ar(アー)],DAY59
mirror,[ミラー],名,鏡,[mi（ミ）][rror（ラー）]  ※ [r(ル)]  [or(アー)],DAY59
sweater,[スウェター],名,セーター,[s（ス）][wea（ウェ）][ter（ター）]  ※ [w(ウ)]  [ea(エ)],DAY59
shower,[シャワー],名,シャワー/にわか雨,[sho（シャ）][wer（ワー）]  ※ [sh(シ)]  [o(ア)]  ※ [w(ウ)]  [er(アー)],DAY59
floor,[フロア],名,床/階,[f（フ）][lo（ロ）][or（アー）]  ※ [l(ル)]  [o(オ)],DAY59
store,[ストー],名,店,[s（ス）][tore（トー）]  ※ [t(トゥ)]  [or(オー)],DAY60
store,[ストー],動,保管する※最後のeは発音しない,[s（ス）][tore（トー）]  ※ [t(トゥ)]  [or(オー)],DAY60
number,[ナンバー],名,数,[nu（ナ）][m（ン）][ber（バー）]  ※ [n(ヌ)]  [u(ア)],DAY60
dollar,[ダラー],名,ドル,[do（ダ）][llar（ラー）]  ※ [l(ル)]  [ar(アー)],DAY60
pair,[ペア],名,１組/ペア,[p（プ）][air（エアー）],DAY60
passport,[パスポートゥ],名,パスポート,[pa（パ）][ss（ス）][por（ポー）][t（トゥ）]  ※ [p(プ)]  [or(オー)],DAY60
skirt,[スカートゥ],名,スカート,[s（ス）][kir（カー）][t（トゥ）]  ※ [k(ク)]  [ir(アー)],DAY60
corner,[コーナー],名,角/曲がり角/すみ,[cor（コー）][ner（ナー）]  ※ [c(ク)]  [or(オー)]  [n(ヌ)]  [er(アー)],DAY60
fever,[フィーヴァー],名,熱,[fe（フィー）][ver（ヴァー）]  ※ [f(フ)]  [e(イー)]  [ v(ヴ)]  [er(アー)],DAY60
girl,[ガール],名,女の子,[gir（ガー）][l（ル）]  ※ [g(グ)]  [ir(アー)],DAY60
father,[ファーザー],名,父,[fa（ファー）][ther（ザー）]  ※ [th(ズ)]  [er(アー)],DAY60
mother,[マザー],名,母,[mo（マ）][ther（ザー）]  ※ [m(ム)]  [o（ア）]  [th(ズ)]  [er(アー)],DAY61
